team,url,prefix_2,prefix_1
Boston Celtics,https://www.espn.com/nba/team/_/name/bos/boston-celtics,boston-celtics,bos
Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,brooklyn-nets,bkn
New York Knicks,https://www.espn.com/nba/team/_/name/ny/new-york-knicks,new-york-knicks,ny
Philadelphia 76ers,https://www.espn.com/nba/team/_/name/phi/philadelphia-76ers,philadelphia-76ers,phi
Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,toronto-raptors,tor
Chicago Bulls,https://www.espn.com/nba/team/_/name/chi/chicago-bulls,chicago-bulls,chi
Cleveland Cavaliers,https://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,cle
Detroit Pistons,https://www.espn.com/nba/team/_/name/det/detroit-pistons,detroit-pistons,det
Indiana Pacers,https://www.espn.com/nba/team/_/name/ind/indiana-pacers,indiana-pacers,ind
Milwaukee Bucks,https://www.espn.com/nba/team/_/name/mil/milwaukee-bucks,milwaukee-bucks,mil
Denver Nuggets,https://www.espn.com/nba/team/_/name/den/denver-nuggets,denver-nuggets,den
Minnesota Timberwolves,https://www.espn.com/nba/team/_/name/min/minnesota-timberwolves,minnesota-timberwolves,min
Oklahoma City Thunder,https://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder,oklahoma-city-thunder,okc
Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,portland-trail-blazers,por
Utah Jazz,https://www.espn.com/nba/team/_/name/utah/utah-jazz,utah-jazz,utah
Golden State Warriors,https://www.espn.com/nba/team/_/name/gs/golden-state-warriors,golden-state-warriors,gs
LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,la-clippers,lac
Los Angeles Lakers,https://www.espn.com/nba/team/_/name/lal/los-angeles-lakers,los-angeles-lakers,lal
Phoenix Suns,https://www.espn.com/nba/team/_/name/phx/phoenix-suns,phoenix-suns,phx
Sacramento Kings,https://www.espn.com/nba/team/_/name/sac/sacramento-kings,sacramento-kings,sac
Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,atlanta-hawks,atl
Charlotte Hornets,https://www.espn.com/nba/team/_/name/cha/charlotte-hornets,charlotte-hornets,cha
Miami Heat,https://www.espn.com/nba/team/_/name/mia/miami-heat,miami-heat,mia
Orlando Magic,https://www.espn.com/nba/team/_/name/orl/orlando-magic,orlando-magic,orl
Washington Wizards,https://www.espn.com/nba/team/_/name/wsh/washington-wizards,washington-wizards,wsh
Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,dallas-mavericks,dal
Houston Rockets,https://www.espn.com/nba/team/_/name/hou/houston-rockets,houston-rockets,hou
Memphis Grizzlies,https://www.espn.com/nba/team/_/name/mem/memphis-grizzlies,memphis-grizzlies,mem
New Orleans Pelicans,https://www.espn.com/nba/team/_/name/no/new-orleans-pelicans,new-orleans-pelicans,no
San Antonio Spurs,https://www.espn.com/nba/team/_/name/sa/san-antonio-spurs,san-antonio-spurs,sa
